2026-07-06 10:07:09 | ==================================================
2026-07-06 10:07:09 | POKRECEM USER MONITOR
2026-07-06 10:07:09 | ==================================================
2026-07-06 10:07:11 | CPU: 4.5% | RAM: 53.7% | Mreza: 0.37 MB/s | Chrome procesi: 17
2026-07-06 10:22:24 | CPU: 11.1% | RAM: 53.9% | Mreza: 0.14 MB/s | Chrome CPU: 6.2% RAM: 16.1% | iVMS CPU: 8.8% RAM: 3.5% Procesi: 15
2026-07-06 10:22:37 | CPU: 5.8% | RAM: 53.9% | Mreza: 0.14 MB/s | Chrome CPU: 5.5% RAM: 16.1% | iVMS CPU: 83.3% RAM: 3.5% Procesi: 15
2026-07-06 10:22:50 | CPU: 7.8% | RAM: 55.0% | Mreza: 0.22 MB/s | Chrome CPU: 1.3% RAM: 16.1% | iVMS CPU: 3.3% RAM: 3.5% Procesi: 15
2026-07-06 10:23:03 | CPU: 17.1% | RAM: 54.9% | Mreza: 0.16 MB/s | Chrome CPU: 12.6% RAM: 16.1% | iVMS CPU: 0.0% RAM: 3.5% Procesi: 15
2026-07-06 10:23:16 | CPU: 6.4% | RAM: 55.0% | Mreza: 0.18 MB/s | Chrome CPU: 35.5% RAM: 16.3% | iVMS CPU: 2.9% RAM: 3.5% Procesi: 15
2026-07-06 10:23:29 | CPU: 6.4% | RAM: 55.5% | Mreza: 0.2 MB/s | Chrome CPU: 29.0% RAM: 16.6% | iVMS CPU: 0.0% RAM: 3.5% Procesi: 15
2026-07-06 10:23:42 | CPU: 9.3% | RAM: 55.4% | Mreza: 0.21 MB/s | Chrome CPU: 38.1% RAM: 16.7% | iVMS CPU: 0.0% RAM: 3.5% Procesi: 15
2026-07-06 10:23:55 | CPU: 8.9% | RAM: 55.6% | Mreza: 0.16 MB/s | Chrome CPU: 31.5% RAM: 16.9% | iVMS CPU: 13.6% RAM: 3.5% Procesi: 15
2026-07-06 10:24:08 | CPU: 44.2% | RAM: 54.9% | Mreza: 0.15 MB/s | Chrome CPU: 21.7% RAM: 16.1% | iVMS CPU: 10.3% RAM: 3.5% Procesi: 15
2026-07-06 10:24:21 | CPU: 6.8% | RAM: 54.8% | Mreza: 0.15 MB/s | Chrome CPU: 8.0% RAM: 16.1% | iVMS CPU: 12.5% RAM: 3.4% Procesi: 15
2026-07-06 10:24:34 | CPU: 6.6% | RAM: 55.0% | Mreza: 0.38 MB/s | Chrome CPU: 21.2% RAM: 16.4% | iVMS CPU: 3.2% RAM: 3.5% Procesi: 15
2026-07-06 10:24:47 | CPU: 11.9% | RAM: 54.8% | Mreza: 0.17 MB/s | Chrome CPU: 23.0% RAM: 16.1% | iVMS CPU: 3.3% RAM: 3.5% Procesi: 15
2026-07-06 10:25:00 | CPU: 10.0% | RAM: 55.0% | Mreza: 0.17 MB/s | Chrome CPU: 39.8% RAM: 16.5% | iVMS CPU: 6.2% RAM: 3.4% Procesi: 15
2026-07-06 10:25:13 | CPU: 9.1% | RAM: 55.6% | Mreza: 0.17 MB/s | Chrome CPU: 58.9% RAM: 16.8% | iVMS CPU: 0.0% RAM: 3.4% Procesi: 15
2026-07-06 10:25:26 | CPU: 8.3% | RAM: 54.8% | Mreza: 0.18 MB/s | Chrome CPU: 32.0% RAM: 16.1% | iVMS CPU: 0.0% RAM: 3.5% Procesi: 15
2026-07-06 10:25:39 | CPU: 10.7% | RAM: 54.9% | Mreza: 0.17 MB/s | Chrome CPU: 15.2% RAM: 16.1% | iVMS CPU: 0.0% RAM: 3.5% Procesi: 15
2026-07-06 10:25:52 | CPU: 10.5% | RAM: 55.9% | Mreza: 0.25 MB/s | Chrome CPU: 1.2% RAM: 16.1% | iVMS CPU: 9.2% RAM: 3.5% Procesi: 15
2026-07-06 10:26:05 | CPU: 6.6% | RAM: 55.9% | Mreza: 0.25 MB/s | Chrome CPU: 11.3% RAM: 16.1% | iVMS CPU: 0.0% RAM: 3.4% Procesi: 15
2026-07-06 10:26:18 | CPU: 15.9% | RAM: 55.9% | Mreza: 0.18 MB/s | Chrome CPU: 37.1% RAM: 16.5% | iVMS CPU: 0.0% RAM: 3.4% Procesi: 15
2026-07-06 10:26:31 | CPU: 11.5% | RAM: 55.8% | Mreza: 0.19 MB/s | Chrome CPU: 52.7% RAM: 17.3% | iVMS CPU: 7.9% RAM: 3.4% Procesi: 15
2026-07-06 10:26:44 | CPU: 9.9% | RAM: 55.9% | Mreza: 0.16 MB/s | Chrome CPU: 35.2% RAM: 17.3% | iVMS CPU: 6.2% RAM: 3.4% Procesi: 15
2026-07-06 10:26:57 | CPU: 8.8% | RAM: 55.8% | Mreza: 0.15 MB/s | Chrome CPU: 27.4% RAM: 17.2% | iVMS CPU: 0.0% RAM: 3.4% Procesi: 15
